"id";"nama";"id_kota";"created_at";"updated_at"
"71";"MATANGKULI";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"72";"DARUL HIKMAH";"14";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"73";"SUKA MAKMUE";"17";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"74";"TANAH LUAS";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"75";"PEUDADA";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"76";"SEULIMEUM";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"77";"PEUSANGAN";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"78";"PEUSANGAN SIBLAH KRUENG";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"79";"SAMPOINIET";"14";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"80";"SYAMTALIRA ARON";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"81";"INDRA MAKMUR";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"82";"KUALA";"17";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"83";"PANTE BIDARI (BEUDARI)";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"84";"TANAH JAMBO AYE";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"85";"MANYAK PAYED";"10";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"86";"PANDRAH";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"87";"SUNGAI RAYA";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"88";"PASIE RAYA";"14";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"89";"DARUL IKSAN (IHSAN)";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"90";"BABAH ROT";"7";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"91";"RANTAU SELAMAT";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"92";"PANTE CEUREUMEN (PANTAI CEUREMEN)";"16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"93";"ULIM";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"94";"WOYLA BARAT";"16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"95";"BANDA BARO";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"96";"IDI TUNONG";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"97";"BATEE";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"98";"JEUNIEB";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"99";"SIMPANG MAMPLAM";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"100";"KAWAY XVI";"16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"101";"BLANG MANGAT";"15";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"102";"BLANG PIDIE";"7";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"103";"GANDA PURA";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"104";"LANGSA TIMUR";"18";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"105";"INDRA JAYA";"14";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"106";"SYIAH KUALA";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"107";"KUALA BATEE";"7";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"108";"KUTA MAKMUR";"5";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"109";"JEUMPA";"7";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"110";"MANGGENG";"7";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"111";"PULO ACEH";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"112";"SAMATIGA";"16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"113";"JAYA";"14";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"114";"NURUSSALAM";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"115";"DARUL FALAH";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"116";"KRUENG SABEE";"14";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"117";"MANTASIEK (MONTASIK)";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"118";"TITEUE";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"119";"TANAH ALAS";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"120";"KARANG BARU";"10";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"121";"TRUMON TIMUR";"9";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"122";"BUKIT TUSAM";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"123";"RANTAU";"10";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"124";"KOTA BAHAGIA";"9";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"125";"BANDAR PUSAKA";"10";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"126";"KLUET TENGAH";"9";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"127";"SURO MAKMUR";"20";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"128";"KLUET UTARA";"9";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"129";"BANDA MULIA";"10";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"130";"KEJURUAN MUDA";"10";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"131";"TAMIANG HULU";"10";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"132";"TEUPAH SELATAN";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"133";"SIMEULEU BARAT";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"134";"SIMEULUE CUT";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"135";"MESIDAH";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"136";"RIKIT GAIB";"8";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"137";"BAMBEL";"12";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"138";"GLUMPANG TIGA (GEULUMPANG TIGA)";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"139";"SUKA MAKMUR";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"140";"INDRAPURI";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"141";"SUKAKARYA";"21";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"142";"DARUSSALAM";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"143";"TEUPAH BARAT";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"144";"SUKAJAYA";"21";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"145";"LINGE";"22";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"146";"PANTON REU";"16";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"147";"LABUHAN HAJI";"9";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"148";"MILA";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"149";"KEMBANG TANJONG (TANJUNG)";"6";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"150";"KUTA BARO";"11";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"151";"KUALA PESISIR";"17";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"152";"PEGASING";"22";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"153";"PINTU RIME GAYO";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"154";"SERBA JADI";"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"155";"CELALA";"22";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
